Category: All categories

Region,Taylor Swift: (1/1/08 - 9/30/20),Beyoncé: (1/1/08 - 9/30/20)
District of Columbia,36%,64%
Mississippi,31%,69%
Louisiana,33%,67%
South Dakota,71%,29%
Maine,69%,31%
New Hampshire,69%,31%
Idaho,74%,26%
Iowa,68%,32%
North Dakota,71%,29%
Vermont,65%,35%
Alabama,41%,59%
Utah,72%,28%
South Carolina,43%,57%
Georgia,37%,63%
Wyoming,72%,28%
Maryland,36%,64%
Montana,71%,29%
Kansas,64%,36%
Delaware,42%,58%
Kentucky,60%,40%
Wisconsin,61%,39%
Virginia,44%,56%
North Carolina,42%,58%
West Virginia,67%,33%
Nebraska,65%,35%
Missouri,55%,45%
Minnesota,61%,39%
Rhode Island,54%,46%
Ohio,55%,45%
Massachusetts,55%,45%
Indiana,57%,43%
Pennsylvania,50%,50%
New York,43%,57%
Connecticut,52%,48%
Hawaii,48%,52%
Michigan,51%,49%
Florida,42%,58%
Oklahoma,58%,42%
Colorado,63%,37%
New Jersey,47%,53%
Arkansas,49%,51%
Oregon,64%,36%
Tennessee,48%,52%
Washington,61%,39%
Arizona,58%,42%
Alaska,59%,41%
Illinois,48%,52%
New Mexico,59%,41%
Texas,47%,53%
California,50%,50%
Nevada,50%,50%
